Time, 01/02/2024 15:07:00, X, -2226095.43140906  , Y, 66803250.308387004 , Z, 80155352.31207767  , Lat, 0.8757326805144735   , Lon, -1.5374854924708803, Alt, 97996189.56122199  , Bx, [0.16137052] , [-0.59369714], [-0.78834209], By, [-0.774164]  , [-0.47856392], [-0.41430264], Bz, [0.4264137]  , [-0.57191075], [-0.70077775]
Time, 01/02/2024 15:07:01, X, -1678449.4459332188, Y, 68871744.46205097  , Z, 82122331.96828982  , Lat, 0.8727834326482298   , Lon, -1.5464304960138229, Alt, 100821405.4478609  , Bx, [-0.45409282], [0.19722745] , [-0.86885042], By, [0.73466098] , [0.56778278] , [0.37134345] , Bz, [0.78685434] , [-0.44433489], [-0.42828351]
Time, 01/02/2024 15:07:02, X, -2392585.167030396 , Y, 72650624.79165286  , Z, 83666977.06438223  , Lat, 0.8554876748197382   , Lon, -1.5378754707951927, Alt, 104462211.61768651 , Bx, [-0.86823218], [-0.26581887], [-0.41894296], By, [0.8093771]  , [0.40917733] , [-0.42128687], Bz, [-0.45522655], [0.77130191] , [-0.44481699]
Time, 01/02/2024 15:07:03, X, -1324934.5095484243, Y, 76276278.46669167  , Z, 84420220.13898367  , Lat, 0.835958832746999    , Lon, -1.5534278695830501, Alt, 107412125.6228152  , Bx, [0.89844368] , [-0.43683698], [0.04441185] , By, [0.19897529] , [-0.32010669], [0.9262508]  , Bz, [0.83028751] , [0.11042389] , [-0.54628675]
Time, 01/02/2024 15:07:04, X, -651480.2257122718 , Y, 78904905.9599145   , Z, 87242624.40991497  , Lat, 0.8355217660879076   , Lon, -1.5625399907084372, Alt, 111262686.18281473 , Bx, [0.86877417] , [-0.46928836], [-0.1581135] , By, [0.92310226] , [0.32399386] , [0.20714777] , Bz, [0.06565784] , [-0.48256331], [0.87339665]
Time, 01/02/2024 15:07:05, X, 1090713.6155584077 , Y, 83629517.81178318  , Z, 88649201.2163312   , Lat, 0.814484463549176    , Lon, 1.557754857619491  , Alt, 115505030.38299246 , Bx, [0.55451484] , [-0.80669918], [0.2043275]  , By, [0.75436174] , [0.63915694] , [-0.14972231], Bz, [0.49476332] , [0.77646372] , [-0.39027344]
Time, 01/02/2024 15:07:06, X, 3739930.3222991866 , Y, 87708435.75832804  , Z, 88408598.79219408  , Lat, 0.7889195706414316   , Lon, 1.528181655826614  , Alt, 118219678.31257501 , Bx, [0.21420236] , [-0.59330284], [-0.77595689], By, [-0.40001612], [-0.9164843] , [0.00660576] , Bz, [0.55256709] , [-0.00885304], [-0.8334214]
Time, 01/02/2024 15:07:07, X, 6019294.449626503  , Y, 92505995.44451746  , Z, 86943475.64237186  , Lat, 0.7533562225633463   , Lon, 1.505818692695128  , Alt, 120722505.16697578 , Bx, [-0.95335777], [-0.01976247], [0.30119497] , By, [-0.96416505], [0.26270169] , [-0.03706182], Bz, [0.07783884] , [0.30638293] , [-0.94872051]
Time, 01/02/2024 15:07:08, X, 7119975.507886497  , Y, 96775339.03432819  , Z, 87827634.88443087  , Lat, 0.7356230132671044   , Lon, 1.4973564335386726 , Alt, 124510067.17869842 , Bx, [0.06591712] , [0.65564624] , [0.75218544] , By, [0.03077412] , [0.9395803]  , [-0.34094254], Bz, [-0.58011817], [-0.24849563], [0.77570151]
Time, 01/02/2024 15:07:09, X, 6308950.5806516    , Y, 102452620.35570966 , Z, 88310224.54072426  , Lat, 0.7104617985642107   , Lon, 1.5092947844834086 , Alt, 129035934.95391369 , Bx, [-0.71717764], [-0.28073982], [0.63784119] , By, [-0.73620442], [-0.58199992], [-0.34536814], Bz, [-0.83086069], [0.55639753] , [0.00960687]
